tokens,Thematic Role,Animacy,Discourse Type,Anaphora,Pronoun,Politeness,Clause,Voice,Medical
[0],agent,animate,focus,exophoric,sing=1,,sub,active,
眠気,theme,inanimate,,new,,,main,active,medical
[0],agent,animate,,exophoric,,,sub,active,
汙,theme,inanimate,,new,,,rel,active,
[0],theme,animate,focus,zero,sing=3,,main,active,
[0],experiencer,animate,focus,exophoric,sing=1,,sub,active,
[0],experiencer,animate,,zero,sing=1,,main,active,
[0],experiencer,animate,,exophoric,sing=1,,sub,active,
[0],experiencer,animate,,zero,sing=1,,sub,active,
気持ち,patient,inanimate,,new,,,main,active,
吐き気,theme,inanimate,,new,,,main,active,medical
薬,theme,inanimate,focus,new,,polite,main,active,medical
[0],agent,animate,,exophoric,sing=1,,rel,active,
の,theme,inanimate,continuity,zero,,polite,main,active,medical
剤,theme,inanimate,,new,,polite,main,active,medical
[0],theme,inanimate,,zero,plur=3,polite,main,active,medical
副作用,theme,inanimate,,new,,,main,active,medical
レクサプロ,theme,inanimate,,new,,,main,active,medical
[0],theme,inanimate,continuity,zero,plur=3,,main,active,medical
[0],theme,inanimate,continuity,zero,plur=3,,main,active,medical
副作用,theme,inanimate,,new,,,main,active,medical
発作,theme,inanimate,,new,,,main,active,medical
[0],agent,animate,,exophoric,sing=1,,main,active,
凝り,theme,inanimate,,new,,,main,active,medical
[0],theme,inanimate,,zero,sing=3,,sub,active,
[0],agent,animate,shift,exophoric,sing=1,,main,active,
症状,theme,inanimate,,new,,,main,active,medical
違和感,theme,inanimate,focus,new,,polite,main,active,medical
[0],theme,inanimate,,zero,sing=3,,main,active,
[0],theme,inanimate,shift,exophoric,,,main,active,
感じ,theme,inanimate,,new,,,main,active,
痛み,theme,inanimate,shift,new,,,main,active,
[0],agent,animate,focus,exophoric,sing=1,,main,active,
[0],experiencer,animate,,zero,sing=1,,main,active,
これ,theme,inanimate,shift,zero,sing=3,,main,active,
副作用,theme,inanimate,shift,new,,,main,active,medical
[0],agent,animate,,exophoric,sing=1,,main,active,
[0],agent,animate,,zero,sing=1,,main,active,
頭痛,theme,inanimate,focus,new,,,main,active,medical
[0],agent,animate,,exophoric,sing=1,,main,active,
副作用,theme,inanimate,focus,new,,,main,active,medical
[0],theme,inanimate,continuity,exophoric,sing=3,,sub,active,
[0],experiencer,animate,,exophoric,sing=1,,main,active,
[0],experiencer,animate,,zero,sing=1,,sub,actove,
[0],agent,animate,,zero,sing=1,,sub,active,
方,theme,inanimate,,new,,,main,active,
[0],experiencer,animate,focus,exophoric,plur=2,polite,main,active,
[0],experiencer,animate,shift,exophoric,sing=1,,sub,active,
[0],experiencer,animate,,zero,sing=1,polite,main,active,
[0],agent,animate,,exophoric,sing=1,polite,main,active,
[0],agent,animate,,exophoric,sing=1,polite,main,active,
暴走,theme,inanimate,focus,new,,,main,active,medical
オーバーヒート,theme,inanimate,shift,new,,polite,main,active,medical
過食,theme,inanimate,shift,new,,polite,main,active,medical
娘,agent,animate,shift,new,,polite,main,active,
[0],agent,animate,,exophoric,sing=3,,rel,active,
[0],experiencer,animate,focus,exophoric,sing=1,,main,active,
[0],agent,animate,,exophoric,sing=1,,main,active,
体,patient,inanimate,,new,,,main,active,
動悸,theme,inanimate,shift,new,,,main,active,medical
眠気,theme,inanimate,shift,new,,,main,active,medical
炊事,theme,inanimate,shift,new,,,main,active,
時間,theme,inanimate,shift,new,,,main,active,
さ,theme,inanimate,shift,new,,,main,active,medical
吐きけ,theme,inanimate,shift,new,,,main,active,medical
[0],experiencer,animate,,exophoric,sing=1,,main,active,
[0],agent,animate,,zero,sing=1,,main,active,
[0],agent,animate,,exophoric,sing=1,polite,main,active,
[0],experiencer,animate,,zero,sing=1,,sub,active,
こと,theme,inanimate,focus,new,,polite,main,active,
私,theme,animate,shift,explicit,sing=1,,main,active,
効き,theme,inanimate,,new,,,rel,active,
[0],agent,animate,continuity,exophoric,sing=1,polite,main,active,
スリー,theme,inanimate,shift,new,,,main,active,medical
眠気,theme,inanimate,,new,,,sub,active,medical
[0],agent,animate,shift,exophoric,sing=1,polite,main,active,
[0],agent,animate,focus,exophoric,sing=1,,main,active,
[0],agent,animate,,exophoric,sing=1,,sub,active,
目眩,theme,inanimate,,new,,,main,active,medical
薬効,theme,inanimate,shift,new,,,sub,active,
[0],theme,inanimate,shift,zero,sing=3,,main,active,
食欲,theme,inanimate,,new,,,main,active,medical
[0],agent,animate,shift,exophoric,sing=1,,main,active,
[0],agent,animate,,exophoric,sing=1,,main,active,
[0],theme,inanimate,focus,exophoric,sing=3,,main,active,
食欲,theme,inanimate,,new,,,sub,active,medical
気,theme,inanimate,,new,,,main,active,
[0],theme,inanimate,,exophoric,,,main,active,
渇,theme,inanimate,,new,,,main,active,medical
[0],recipient,animate,,exophoric,sing=1,,main,passive,
[0],theme,inanimate,,exophoric,sing=3,,main,active,
[0],agent,animate,,zero,sing=1,,main,active,
悪心,theme,inanimate,,new,,,main,active,medical
頭,patient,inanimate,,new,,,main,active,
[0],agent,animate,,zero,sing=1,,sub,active,
[0],experiencer,animate,,zero,sing=1,,sub,active,
[0],agent,animate,,zero,sing=1,,main,active,
[0],agent,animate,,exophoric,sing=1,,sub,active,
時間,theme,inanimate,,new,,,sub,active,
の,theme,inanimate,focus,new,,,main,active,
[0],experiencer,animate,,zero,sing=1,,main,active,
[0],agent,animate,,exophoric,sing=1,,sub,active,
[0],agent,animate,,zero,sing=1,,main,active,
[0],experiencer,animate,,exophoric,sing=1,,main,active,
[0],agent,animate,,zero,sing=1,,main,active,
[0],theme,inanimate,,new,,,sub,active,
[0],experiencer,animate,,zero,sing=1,,main,active,
[0],theme,inanimate,,exophoric,sing=3,,sub,active,
[0],agent,animate,,exophoric,sing=1,,sub,active,
[0],theme,inanimate,,exophoric,sing=3,,sub,active,
時間,theme,inanimate,,explicit,,,sub,active,
身体,patient,inanimate,,new,,,rel,active,
薬疹,theme,inanimate,,new,,,main,active,medical
鬱,theme,inanimate,,new,,,sub,active,medical
[0],recipient,animate,focus,exophoric,sing=1,,main,active,
吐き気,theme,inanimate,,new,,,main,active,medical
[0],agent,animate,,exophoric,sing=1,,sub,active,
吐き気,theme,inanimate,,explicit,,,main,active,medical
[0],agent,animate,,exophoric,sing=1,,sub,active,
[0],experiencer,animate,focus,zero,sing=1,,main,active,
[0],theme,inanimate,shift,exophoric,sing=3,,main,active,medical
[0],agent,animate,,exophoric,sing=1,,sub,active,
[0],agent,animate,,zero,sing=1,,main,active,
[0],agent,animate,,exophoric,sing=1,,sub,active,
眠気,theme,inanimate,,new,,,main,active,medical
錠,theme,inanimate,shift,new,,,main,active,medical
[0],experiencer,animate,,exophoric,sing=1,,sub,active,
[0],experiencer,animate,,zero,sing=1,,main,active,
[0],theme,inanimate,,exophoric,sing=3,,main,active,
[0],theme,inanimate,,zero,sing=3,,rel,active,medical
[0],theme,inanimate,,zero,sing=3,,sub,active,medical
の,theme,inanimate,,new,,polite,main,active,
[0],theme,inanimate,,exophoric,sing=3,,sub,passive,medical
[0],theme,inanimate,,exophoric,sing=3,polite,main,active,
性欲,theme,inanimate,,new,,,main,active,medical
症,theme,inanimate,focus,new,,,main,active,medical
意識,theme,inanimate,,new,,,main,active,
吐き気,theme,inanimate,,new,,,main,active,medical
感覚,theme,inanimate,,new,,,main,active,medical
レクサプロ,theme,inanimate,,new,,,main,active,medical
副作用,theme,inanimate,focus,new,,,main,active,medical
